title,price,year,km,fuel,transmission,location,seller,link,scraped_date
Territory TitaniumX 7/2025-7000km siêu lướt,879.000.000 đ,2025,7000 km,Xăng,Tự động,Quận Thanh Khê(P. Thanh Khê mới),LeVy,https://xe.chotot.com/mua-ban-quan-thanh-khe-da-nang/131024878.htm#px=SR-stickyad-[PO-1][PL-top],2026-03-29 13:49:15
Toyota Corolla Altis 2015 Bản G Trắng,399.000.000 đ,2015,105000 km,Xăng,Tự động,Quận Thanh Khê(P. Thanh Khê mới),LeVy,https://xe.chotot.com/mua-ban-quan-thanh-khe-da-nang/131321766.htm#px=SR-stickyad-[PO-1][PL-top],2026-03-29 13:49:15
Audi A5 Quattro 2 đăng ký lần đầu 2012,335.000.000 đ,2009,120000 km,Xăng,Tự động,Quận Thanh Khê(P. Thanh Khê mới),LeVy,https://xe.chotot.com/mua-ban-quan-thanh-khe-da-nang/131307103.htm#px=SR-stickyad-[PO-1][PL-top],2026-03-29 13:49:15
Bán Focus bản full siêu đẹp giấy tờ nhanh gọn,125.000.000 đ,2006,15500 km,Xăng,Tự động,Quận Cẩm Lệ(P. An Khê mới),otocudanang,https://xe.chotot.com/mua-ban-quan-cam-le-da-nang/131015509.htm,2026-03-29 13:49:15
Mazda 3 2010 Tím,232.000.000 đ,2010,75000 km,Xăng,Bán tự động,Quận Cẩm Lệ(P. An Khê mới),nguyen duc,https://xe.chotot.com/mua-ban-quan-cam-le-da-nang/130880293.htm,2026-03-29 13:49:15
Suzuki Ertiga Hybrid 2024 1.5AT giá 235 triệu,235.000.000 đ,2024,16000 km,Xăng,Tự động,Quận Thanh Khê(P. Thanh Khê mới),HAT,https://xe.chotot.com/mua-ban-quan-thanh-khe-da-nang/131006640.htm,2026-03-29 13:49:15
Mazda BT50 2018 ATH Đen,400.000.000 đ,2018,130000 km,Dầu,Tự động,Quận Thanh Khê(P. An Khê mới),pi,https://xe.chotot.com/mua-ban-quan-thanh-khe-da-nang/131366494.htm,2026-03-29 13:49:15
Hyundai Tucson 2022 2.0 AT Tiêu chuẩn - 51000 km,669.000.000 đ,2022,51000 km,Xăng,Tự động,Quận Ngũ Hành Sơn(P. Ngũ Hành Sơn mới),Vinh,https://xe.chotot.com/mua-ban-quan-ngu-hanh-son-da-nang/131477688.htm,2026-03-29 13:49:15
"Bán Spark Van đời 2011, xe đẹp số sàn giá tốt",55.000.000 đ,2011,115000 km,Xăng,Số sàn,Quận Cẩm Lệ(P. An Khê mới),otocudanang,https://xe.chotot.com/mua-ban-quan-cam-le-da-nang/130170112.htm,2026-03-29 13:49:15
Mitsubishi Pajero xe đẹp máy xăng 2 cầu,149.000.000 đ,2006,135000 km,Xăng,Số sàn,Quận Cẩm Lệ(P. An Khê mới),otocudanang,https://xe.chotot.com/mua-ban-quan-cam-le-da-nang/130380716.htm,2026-03-29 13:49:15
Peugeot 2008 2021 Đen 40000 km,499.000.000 đ,2021,40000 km,Xăng,Tự động,Quận Liên Chiểu(P. Hòa Khánh mới),Bo auto xe lướt đà nẵng,https://xe.chotot.com/mua-ban-quan-lien-chieu-da-nang/131210953.htm,2026-03-29 13:49:15
Daewoo Matiz S 2004 Trắng,25.000.000 đ,2004,123564 km,Xăng,Số sàn,Quận Liên Chiểu(P. Liên Chiểu mới),bao quang,https://xe.chotot.com/mua-ban-quan-lien-chieu-da-nang/131495395.htm,2026-03-29 13:49:15
KIA SONET 2024 4.000 km Xanh,543.210.000 đ,2024,4000 km,Xăng,Tự động,Quận Thanh Khê(P. Thanh Khê mới),LeVy,https://xe.chotot.com/mua-ban-quan-thanh-khe-da-nang/131495346.htm,2026-03-29 13:49:15
Toyota Innova 2008 G - 220000 km,175.000.000 đ,2008,220000 km,Xăng,Số sàn,Quận Hải Châu(P. Hải Châu mới),Hữu Pháp,https://xe.chotot.com/mua-ban-quan-hai-chau-da-nang/131456455.htm,2026-03-29 13:49:15
Hyundai i10 Sedan 2021 Trắng,240.000.000 đ,2021,95000 km,Xăng,Số sàn,Quận Liên Chiểu(P. Hòa Khánh mới),anh quoc,https://xe.chotot.com/mua-ban-quan-lien-chieu-da-nang/131495129.htm,2026-03-29 13:49:15
Mazda 3 Đỏ 5 chỗ 4 vạn,449.000.000 đ,2019,40000 km,Xăng,Tự động,Quận Cẩm Lệ(P. An Khê mới),otocudanang,https://xe.chotot.com/mua-ban-quan-cam-le-da-nang/130922843.htm,2026-03-29 13:49:15
Kia Cerato Koup 2009 - 1.6 AT full,229.000.000 đ,2009,180000 km,Xăng,Bán tự động,Quận Ngũ Hành Sơn(P. Ngũ Hành Sơn mới),Lê Hải,https://xe.chotot.com/mua-ban-quan-ngu-hanh-son-da-nang/131413192.htm,2026-03-29 13:49:15
Veloz TOP 2022,495.000.000 đ,2022,777777 km,Xăng,Tự động,Quận Liên Chiểu(P. Hòa Khánh mới),Hoàng,https://xe.chotot.com/mua-ban-quan-lien-chieu-da-nang/131272192.htm,2026-03-29 13:49:15
"Ford Escape, Bản cao cấp, xe gia đình cán bộ",295.000.000 đ,2013,10080 km,Xăng,Tự động,Quận Cẩm Lệ(P. Hòa Xuân mới),Thanh Xuân,https://xe.chotot.com/mua-ban-quan-cam-le-da-nang/131072919.htm,2026-03-29 13:49:15
Bán Ford Laser siêu đẹp đời 2004 số tự động,115.000.000 đ,2004,155000 km,Xăng,Tự động,Quận Hải Châu(P. Hòa Cường mới),otocudanang,https://xe.chotot.com/mua-ban-quan-hai-chau-da-nang/128262635.htm,2026-03-29 13:49:15
Hyundai Grand i10 Xanh 39.000km,345.000.000 đ,2021,39000 km,Xăng,Tự động,Quận Thanh Khê(P. Thanh Khê mới),Phan Thanh Tuấn,https://xe.chotot.com/mua-ban-quan-thanh-khe-da-nang/131493782.htm,2026-03-29 13:49:15
