title,price,year,km,fuel,transmission,location,seller,link,scraped_date,brand_clean,model_clean,price_clean,mileage_clean,year_clean,location_clean,price_raw,mileage_raw,year_raw,is_price_hidden,is_mileage_hidden,is_year_hidden
KIA SONET 2023 1.5 Luxury Trắng,530.000.000 đ,2023,40000 km,Xăng,Tự động,Quận Liên Chiểu(P. Liên Chiểu mới),Tư Bùi,https://xe.chotot.com/mua-ban-quan-lien-chieu-da-nang/131376661.htm#px=SR-stickyad-[PO-1][PL-top],2026-03-29 00:23:09,Kia,KIA SONET 1.5,530.000.000,40000.0,2023,Quận Liên Chiểu(P. Liên Chiểu mới),530.000.000 đ,40000 km,2023,0,0,0
"Ford Escape, Bản cao cấp, xe gia đình cán bộ",295.000.000 đ,2013,10080 km,Xăng,Tự động,Quận Cẩm Lệ(P. Hòa Xuân mới),Thanh Xuân,https://xe.chotot.com/mua-ban-quan-cam-le-da-nang/131072919.htm#px=SR-stickyad-[PO-1][PL-top],2026-03-29 00:23:09,Ford,"Ford Escape, Bản",295.000.000,10080.0,2013,Quận Cẩm Lệ(P. Hòa Xuân mới),295.000.000 đ,10080 km,2013,0,0,0
Toyota Corolla Altis 2015 Bản G Trắng,399.000.000 đ,2015,105000 km,Xăng,Tự động,Quận Thanh Khê(P. Thanh Khê mới),LeVy,https://xe.chotot.com/mua-ban-quan-thanh-khe-da-nang/131321766.htm#px=SR-stickyad-[PO-1][PL-top],2026-03-29 00:23:09,Toyota,Toyota Corolla Altis,399.000.000,105000.0,2015,Quận Thanh Khê(P. Thanh Khê mới),399.000.000 đ,105000 km,2015,0,0,0
Ford Ranger Wildtrak 2021 Vàng,670.000.000 đ,2021,110000 km,Dầu,Tự động,Quận Hải Châu(P. Hòa Cường mới),nguyên,https://xe.chotot.com/mua-ban-quan-hai-chau-da-nang/131488689.htm,2026-03-29 00:23:09,Ford,Ford Ranger Wildtrak,670.000.000,110000.0,2021,Quận Hải Châu(P. Hòa Cường mới),670.000.000 đ,110000 km,2021,0,0,0
2016 keo chỉ rin keng,249.000.000 đ,2016,200000 km,Dầu,Số sàn,Quận Cẩm Lệ(P. Cẩm Lệ mới),Phat nhuan,https://xe.chotot.com/mua-ban-quan-cam-le-da-nang/128606320.htm,2026-03-29 00:23:09,Unknown,Unknown,249.000.000,200000.0,2016,Quận Cẩm Lệ(P. Cẩm Lệ mới),249.000.000 đ,200000 km,2016,0,0,0
Mazda 3 Sport 2024 Luxury Xanh Cavansai,625.000.000 đ,2024,10000 km,Xăng,Tự động,Quận Thanh Khê(P. Thanh Khê mới),Mẫn,https://xe.chotot.com/mua-ban-quan-thanh-khe-da-nang/131372587.htm,2026-03-29 00:23:09,Mazda,Mazda 3 Sport,625.000.000,10000.0,2024,Quận Thanh Khê(P. Thanh Khê mới),625.000.000 đ,10000 km,2024,0,0,0
Hyundai Santafe 2023 Tiêu chuẩn 107.000 km,950.000.000 đ,2023,107000 km,Dầu,Tự động,Quận Hải Châu(P. Hòa Cường mới),Nguyenvanhuy,https://xe.chotot.com/mua-ban-quan-hai-chau-da-nang/130952315.htm,2026-03-29 00:23:09,Hyundai,Hyundai Santafe Tiêu,950.000.000,107000.0,2023,Quận Hải Châu(P. Hòa Cường mới),950.000.000 đ,107000 km,2023,0,0,0
Peugeot 5008 2019 Đỏ 90000 km,589.000.000 đ,2019,90000 km,Xăng,Tự động,Quận Hải Châu(P. Hòa Cường mới),Salon Oto Bảo,https://xe.chotot.com/mua-ban-quan-hai-chau-da-nang/131486007.htm,2026-03-29 00:23:09,Peugeot,Peugeot Đỏ 0,589.000.000,90000.0,2019,Quận Hải Châu(P. Hòa Cường mới),589.000.000 đ,90000 km,2019,0,0,0
"Bán Peugeot bản full 1.6 turbo, máy rin xe đẹp",325.000.000 đ,2015,101000 km,Xăng,Tự động,Quận Cẩm Lệ(P. An Khê mới),otocudanang,https://xe.chotot.com/mua-ban-quan-cam-le-da-nang/130697896.htm,2026-03-29 00:23:09,Peugeot,Bán Peugeot bản,325.000.000,101000.0,2015,Quận Cẩm Lệ(P. An Khê mới),325.000.000 đ,101000 km,2015,0,0,0
Kia Carens 2025 Luxury 10600 km,625.000.000 đ,2025,10600 km,Xăng,Tự động,Huyện Hòa Vang(P. Hòa Xuân mới),TRƯỜNG XUÂN,https://xe.chotot.com/mua-ban-huyen-hoa-vang-da-nang/131485845.htm,2026-03-29 00:23:09,Kia,Kia Carens Luxury,625.000.000,10600.0,2025,Huyện Hòa Vang(P. Hòa Xuân mới),625.000.000 đ,10600 km,2025,0,0,0
Mazda 3 2019 1.5 AT Sedan - 45000 km,440.000.000 đ,2019,45000 km,Xăng,Tự động,Quận Ngũ Hành Sơn(P. Ngũ Hành Sơn mới),Vinh,https://xe.chotot.com/mua-ban-quan-ngu-hanh-son-da-nang/130815161.htm,2026-03-29 00:23:09,Mazda,Mazda 3 1.5,440.000.000,45000.0,2019,Quận Ngũ Hành Sơn(P. Ngũ Hành Sơn mới),440.000.000 đ,45000 km,2019,0,0,0
Mitsubishi Attrage 2022 CVT Đỏ 80.000 km,327.000.000 đ,2022,80000 km,Xăng,Tự động,Quận Cẩm Lệ(P. Hòa Xuân mới),PHÚC VÂN AUTO,https://xe.chotot.com/mua-ban-quan-cam-le-da-nang/131484209.htm,2026-03-29 00:23:09,Mitsubishi,Mitsubishi Attrage CVT,327.000.000,80000.0,2022,Quận Cẩm Lệ(P. Hòa Xuân mới),327.000.000 đ,80000 km,2022,0,0,0
Mazda 3 2004 Bạc,155.000.000 đ,2004,100000 km,Xăng,Tự động,Quận Cẩm Lệ(P. Hòa Xuân mới),PHÚC VÂN AUTO,https://xe.chotot.com/mua-ban-quan-cam-le-da-nang/131300891.htm,2026-03-29 00:23:09,Mazda,Mazda 3 Bạc,155.000.000,100000.0,2004,Quận Cẩm Lệ(P. Hòa Xuân mới),155.000.000 đ,100000 km,2004,0,0,0
Hyundai i10 2019 Đỏ 80.000km,320.000.000 đ,2019,80000 km,Xăng,Tự động,Quận Cẩm Lệ(P. Hòa Xuân mới),PHÚC VÂN AUTO,https://xe.chotot.com/mua-ban-quan-cam-le-da-nang/131484124.htm,2026-03-29 00:23:09,Hyundai,Hyundai i10 Đỏ,320.000.000,80000.0,2019,Quận Cẩm Lệ(P. Hòa Xuân mới),320.000.000 đ,80000 km,2019,0,0,0
Toyota Vios 2018 E CVT 91349 km,320.000.000 đ,2018,91349 km,Xăng,Tự động,Quận Cẩm Lệ(P. Hòa Xuân mới),PHÚC VÂN AUTO,https://xe.chotot.com/mua-ban-quan-cam-le-da-nang/131484057.htm,2026-03-29 00:23:09,Toyota,Toyota Vios E,320.000.000,91349.0,2018,Quận Cẩm Lệ(P. Hòa Xuân mới),320.000.000 đ,91349 km,2018,0,0,0
Mitsubishi Mirage 2018 Số sàn 77000 km,199.000.000 đ,2018,77000 km,Xăng,Số sàn,Quận Cẩm Lệ(P. Hòa Xuân mới),PHÚC VÂN AUTO,https://xe.chotot.com/mua-ban-quan-cam-le-da-nang/131484014.htm,2026-03-29 00:23:09,Mitsubishi,Mitsubishi Mirage Số,199.000.000,77000.0,2018,Quận Cẩm Lệ(P. Hòa Xuân mới),199.000.000 đ,77000 km,2018,0,0,0
Hyundai i10 2020 Base Trắng 9 vạn,235.000.000 đ,2020,90000 km,Xăng,Số sàn,Quận Cẩm Lệ(P. Hòa Xuân mới),PHÚC VÂN AUTO,https://xe.chotot.com/mua-ban-quan-cam-le-da-nang/131300609.htm,2026-03-29 00:23:09,Hyundai,Hyundai i10 Base,235.000.000,90000.0,2020,Quận Cẩm Lệ(P. Hòa Xuân mới),235.000.000 đ,90000 km,2020,0,0,0
Kia Cerato 2010 1.6 AT Trắng,235.000.000 đ,2010,120000 km,Xăng,Tự động,Quận Cẩm Lệ(P. Hòa Xuân mới),PHÚC VÂN AUTO,https://xe.chotot.com/mua-ban-quan-cam-le-da-nang/131483828.htm,2026-03-29 00:23:09,Kia,Kia Cerato 1.6,235.000.000,120000.0,2010,Quận Cẩm Lệ(P. Hòa Xuân mới),235.000.000 đ,120000 km,2010,0,0,0
Toyota Avanza Premio 2023 Trắng 60.000 km,450.000.000 đ,2023,60000 km,Xăng,Số sàn,Quận Cẩm Lệ(P. Hòa Xuân mới),PHÚC VÂN AUTO,https://xe.chotot.com/mua-ban-quan-cam-le-da-nang/131483737.htm,2026-03-29 00:23:09,Toyota,Toyota Avanza Premio,450.000.000,60000.0,2023,Quận Cẩm Lệ(P. Hòa Xuân mới),450.000.000 đ,60000 km,2023,0,0,0
Mitsubishi Attrage 2022 MT 77.000 km,265.000.000 đ,2022,77000 km,Xăng,Số sàn,Quận Cẩm Lệ(P. Hòa Xuân mới),PHÚC VÂN AUTO,https://xe.chotot.com/mua-ban-quan-cam-le-da-nang/131483657.htm,2026-03-29 00:23:09,Mitsubishi,Mitsubishi Attrage MT,265.000.000,77000.0,2022,Quận Cẩm Lệ(P. Hòa Xuân mới),265.000.000 đ,77000 km,2022,0,0,0
Mazda 2 2017 Luxury Xám xanh,315.000.000 đ,2017,80000 km,Xăng,Tự động,Quận Cẩm Lệ(P. Hòa Xuân mới),PHÚC VÂN AUTO,https://xe.chotot.com/mua-ban-quan-cam-le-da-nang/131300837.htm,2026-03-29 00:23:09,Mazda,Mazda 2 Luxury,315.000.000,80000.0,2017,Quận Cẩm Lệ(P. Hòa Xuân mới),315.000.000 đ,80000 km,2017,0,0,0
