title,price,year,km,fuel,transmission,location,seller,link,scraped_date,price_clean,year_clean,mileage_clean,age,target
KIA SONET 2023 1.5 Luxury Trắng,530.000.000 đ,2023,40000 km,Xăng,Tự động,Quận Liên Chiểu(P. Liên Chiểu mới),Tư Bùi,https://xe.chotot.com/mua-ban-quan-lien-chieu-da-nang/131376661.htm#px=SR-stickyad-[PO-1][PL-top],3/29/2026 0:23,530000000,2023,40000,1,530000000
"Ford Escape, Bản cao cấp, xe gia đình cán bộ",295.000.000 đ,2013,10080 km,Xăng,Tự động,Quận Cẩm Lệ(P. Hòa Xuân mới),Thanh Xuân,https://xe.chotot.com/mua-ban-quan-cam-le-da-nang/131072919.htm#px=SR-stickyad-[PO-1][PL-top],3/29/2026 0:23,295000000,2013,10080,11,295000000
Toyota Corolla Altis 2015 Bản G Trắng,399.000.000 đ,2015,105000 km,Xăng,Tự động,Quận Thanh Khê(P. Thanh Khê mới),LeVy,https://xe.chotot.com/mua-ban-quan-thanh-khe-da-nang/131321766.htm#px=SR-stickyad-[PO-1][PL-top],3/29/2026 0:23,399000000,2015,105000,9,399000000
Ford Ranger Wildtrak 2021 Vàng,670.000.000 đ,2021,110000 km,Dầu,Tự động,Quận Hải Châu(P. Hòa Cường mới),nguyên,https://xe.chotot.com/mua-ban-quan-hai-chau-da-nang/131488689.htm,3/29/2026 0:23,670000000,2021,110000,3,670000000
2016 keo chỉ rin keng,249.000.000 đ,2016,200000 km,Dầu,Số sàn,Quận Cẩm Lệ(P. Cẩm Lệ mới),Phat nhuan,https://xe.chotot.com/mua-ban-quan-cam-le-da-nang/128606320.htm,3/29/2026 0:23,249000000,2016,200000,8,249000000
Mazda 3 Sport 2024 Luxury Xanh Cavansai,625.000.000 đ,2024,10000 km,Xăng,Tự động,Quận Thanh Khê(P. Thanh Khê mới),Mẫn,https://xe.chotot.com/mua-ban-quan-thanh-khe-da-nang/131372587.htm,3/29/2026 0:23,625000000,2024,10000,0,625000000
Hyundai Santafe 2023 Tiêu chuẩn 107.000 km,950.000.000 đ,2023,107000 km,Dầu,Tự động,Quận Hải Châu(P. Hòa Cường mới),Nguyenvanhuy,https://xe.chotot.com/mua-ban-quan-hai-chau-da-nang/130952315.htm,3/29/2026 0:23,950000000,2023,107000,1,950000000
Peugeot 5008 2019 Đỏ 90000 km,589.000.000 đ,2019,90000 km,Xăng,Tự động,Quận Hải Châu(P. Hòa Cường mới),Salon Oto Bảo,https://xe.chotot.com/mua-ban-quan-hai-chau-da-nang/131486007.htm,3/29/2026 0:23,589000000,2019,90000,5,589000000
"Bán Peugeot bản full 1.6 turbo, máy rin xe đẹp",325.000.000 đ,2015,101000 km,Xăng,Tự động,Quận Cẩm Lệ(P. An Khê mới),otocudanang,https://xe.chotot.com/mua-ban-quan-cam-le-da-nang/130697896.htm,3/29/2026 0:23,325000000,2015,101000,9,325000000
Kia Carens 2025 Luxury 10600 km,625.000.000 đ,2025,10600 km,Xăng,Tự động,Huyện Hòa Vang(P. Hòa Xuân mới),TRƯỜNG XUÂN,https://xe.chotot.com/mua-ban-huyen-hoa-vang-da-nang/131485845.htm,3/29/2026 0:23,625000000,2025,10600,-1,625000000
Mazda 3 2019 1.5 AT Sedan - 45000 km,440.000.000 đ,2019,45000 km,Xăng,Tự động,Quận Ngũ Hành Sơn(P. Ngũ Hành Sơn mới),Vinh,https://xe.chotot.com/mua-ban-quan-ngu-hanh-son-da-nang/130815161.htm,3/29/2026 0:23,440000000,2019,45000,5,440000000
Mitsubishi Attrage 2022 CVT Đỏ 80.000 km,327.000.000 đ,2022,80000 km,Xăng,Tự động,Quận Cẩm Lệ(P. Hòa Xuân mới),PHÚC VÂN AUTO,https://xe.chotot.com/mua-ban-quan-cam-le-da-nang/131484209.htm,3/29/2026 0:23,327000000,2022,80000,2,327000000
Mazda 3 2004 Bạc,155.000.000 đ,2004,100000 km,Xăng,Tự động,Quận Cẩm Lệ(P. Hòa Xuân mới),PHÚC VÂN AUTO,https://xe.chotot.com/mua-ban-quan-cam-le-da-nang/131300891.htm,3/29/2026 0:23,155000000,2004,100000,20,155000000
Hyundai i10 2019 Đỏ 80.000km,320.000.000 đ,2019,80000 km,Xăng,Tự động,Quận Cẩm Lệ(P. Hòa Xuân mới),PHÚC VÂN AUTO,https://xe.chotot.com/mua-ban-quan-cam-le-da-nang/131484124.htm,3/29/2026 0:23,320000000,2019,80000,5,320000000
Toyota Vios 2018 E CVT 91349 km,320.000.000 đ,2018,91349 km,Xăng,Tự động,Quận Cẩm Lệ(P. Hòa Xuân mới),PHÚC VÂN AUTO,https://xe.chotot.com/mua-ban-quan-cam-le-da-nang/131484057.htm,3/29/2026 0:23,320000000,2018,91349,6,320000000
Mitsubishi Mirage 2018 Số sàn 77000 km,199.000.000 đ,2018,77000 km,Xăng,Số sàn,Quận Cẩm Lệ(P. Hòa Xuân mới),PHÚC VÂN AUTO,https://xe.chotot.com/mua-ban-quan-cam-le-da-nang/131484014.htm,3/29/2026 0:23,199000000,2018,77000,6,199000000
Hyundai i10 2020 Base Trắng 9 vạn,235.000.000 đ,2020,90000 km,Xăng,Số sàn,Quận Cẩm Lệ(P. Hòa Xuân mới),PHÚC VÂN AUTO,https://xe.chotot.com/mua-ban-quan-cam-le-da-nang/131300609.htm,3/29/2026 0:23,235000000,2020,90000,4,235000000
Kia Cerato 2010 1.6 AT Trắng,235.000.000 đ,2010,120000 km,Xăng,Tự động,Quận Cẩm Lệ(P. Hòa Xuân mới),PHÚC VÂN AUTO,https://xe.chotot.com/mua-ban-quan-cam-le-da-nang/131483828.htm,3/29/2026 0:23,235000000,2010,120000,14,235000000
Toyota Avanza Premio 2023 Trắng 60.000 km,450.000.000 đ,2023,60000 km,Xăng,Số sàn,Quận Cẩm Lệ(P. Hòa Xuân mới),PHÚC VÂN AUTO,https://xe.chotot.com/mua-ban-quan-cam-le-da-nang/131483737.htm,3/29/2026 0:23,450000000,2023,60000,1,450000000
Mitsubishi Attrage 2022 MT 77.000 km,265.000.000 đ,2022,77000 km,Xăng,Số sàn,Quận Cẩm Lệ(P. Hòa Xuân mới),PHÚC VÂN AUTO,https://xe.chotot.com/mua-ban-quan-cam-le-da-nang/131483657.htm,3/29/2026 0:23,265000000,2022,77000,2,265000000
Mazda 2 2017 Luxury Xám xanh,315.000.000 đ,2017,80000 km,Xăng,Tự động,Quận Cẩm Lệ(P. Hòa Xuân mới),PHÚC VÂN AUTO,https://xe.chotot.com/mua-ban-quan-cam-le-da-nang/131300837.htm,3/29/2026 0:23,315000000,2017,80000,7,315000000
